Potential applied (V)	WE(1).Current (A)
-0.6976318359375	-0.00010394287109375
-0.6951904296875	-9.99755859375E-05
-0.6927490234375	-9.63134765625E-05
-0.6903076171875	-9.271240234375E-05
-0.6878662109375	-8.935546875E-05
-0.6854248046875	-8.624267578125E-05
-0.6829833984375	-8.3221435546875E-05
-0.6805419921875	-8.0413818359375E-05
-0.6781005859375	-7.781982421875E-05
-0.6756591796875	-7.537841796875E-05
-0.6732177734375	-7.31201171875E-05
-0.6707763671875	-7.0831298828125E-05
-0.6683349609375	-6.8695068359375E-05
-0.6658935546875	-6.6558837890625E-05
-0.6634521484375	-6.4544677734375E-05
-0.6610107421875	-6.25E-05
-0.6585693359375	-6.0546875E-05
-0.6561279296875	-5.859375E-05
-0.6536865234375	-5.6793212890625E-05
-0.6512451171875	-5.5023193359375E-05
-0.6488037109375	-5.3375244140625E-05
-0.6463623046875	-5.1849365234375E-05
-0.6439208984375	-5.035400390625E-05
-0.6414794921875	-4.8980712890625E-05
-0.6390380859375	-4.766845703125E-05
-0.6365966796875	-4.64080810546875E-05
-0.6341552734375	-4.51904296875E-05
-0.6317138671875	-4.39697265625E-05
-0.6292724609375	-4.273681640625E-05
-0.6268310546875	-4.14947509765625E-05
-0.6243896484375	-4.0283203125E-05
-0.6219482421875	-3.91021728515625E-05
-0.6195068359375	-3.7921142578125E-05
-0.6170654296875	-3.67889404296875E-05
-0.6146240234375	-3.575439453125E-05
-0.6121826171875	-3.47625732421875E-05
-0.6097412109375	-3.3880615234375E-05
-0.6072998046875	-3.297119140625E-05
-0.6048583984375	-3.21258544921875E-05
-0.6024169921875	-3.135986328125E-05
-0.5999755859375	-3.05572509765625E-05
-0.5975341796875	-2.97882080078125E-05
-0.5950927734375	-2.9022216796875E-05
-0.5926513671875	-2.82012939453125E-05
-0.5902099609375	-2.74505615234375E-05
-0.5877685546875	-2.6666259765625E-05
-0.5853271484375	-2.58636474609375E-05
-0.5828857421875	-2.51220703125E-05
-0.5804443359375	-2.43865966796875E-05
-0.5780029296875	-2.3699951171875E-05
-0.5755615234375	-2.31109619140625E-05
-0.5731201171875	-2.24945068359375E-05
-0.5706787109375	-2.1929931640625E-05
-0.5682373046875	-2.1435546875E-05
-0.5657958984375	-2.088623046875E-05
-0.5633544921875	-2.0404052734375E-05
-0.5609130859375	-1.98577880859375E-05
-0.5584716796875	-1.93267822265625E-05
-0.5560302734375	-1.87896728515625E-05
-0.5535888671875	-1.8231201171875E-05
-0.5511474609375	-1.76544189453125E-05
-0.5487060546875	-1.71295166015625E-05
-0.5462646484375	-1.6607666015625E-05
-0.5438232421875	-1.6119384765625E-05
-0.5413818359375	-1.56494140625E-05
-0.5389404296875	-1.52496337890625E-05
-0.5364990234375	-1.4849853515625E-05
