Potential applied (V)	WE(1).Current (A)
-0.6976318359375	-2.37213134765625E-05
-0.6951904296875	-2.29278564453125E-05
-0.6927490234375	-2.22137451171875E-05
-0.6903076171875	-2.15087890625E-05
-0.6878662109375	-2.07733154296875E-05
-0.6854248046875	-2.001953125E-05
-0.6829833984375	-1.93450927734375E-05
-0.6805419921875	-1.86614990234375E-05
-0.6781005859375	-1.79718017578125E-05
-0.6756591796875	-1.737060546875E-05
-0.6732177734375	-1.68121337890625E-05
-0.6707763671875	-1.63238525390625E-05
-0.6683349609375	-1.591796875E-05
-0.6658935546875	-1.54998779296875E-05
-0.6634521484375	-1.51641845703125E-05
-0.6610107421875	-1.4874267578125E-05
-0.6585693359375	-1.4532470703125E-05
-0.6561279296875	-1.42364501953125E-05
-0.6536865234375	-1.38885498046875E-05
-0.6512451171875	-1.35009765625E-05
-0.6488037109375	-1.31500244140625E-05
-0.6463623046875	-1.27716064453125E-05
-0.6439208984375	-1.236572265625E-05
-0.6414794921875	-1.20147705078125E-05
-0.6390380859375	-1.16729736328125E-05
-0.6365966796875	-1.138916015625E-05
-0.6341552734375	-1.1163330078125E-05
-0.6317138671875	-1.09283447265625E-05
-0.6292724609375	-1.07421875E-05
-0.6268310546875	-1.05865478515625E-05
-0.6243896484375	-1.03973388671875E-05
-0.6219482421875	-1.0260009765625E-05
-0.6195068359375	-1.0052490234375E-05
-0.6170654296875	-9.8419189453125E-06
-0.6146240234375	-9.613037109375E-06
-0.6121826171875	-9.375E-06
-0.6097412109375	-9.0972900390625E-06
-0.6072998046875	-8.8653564453125E-06
-0.6048583984375	-8.5845947265625E-06
-0.6024169921875	-8.355712890625E-06
-0.5999755859375	-8.1817626953125E-06
-0.5975341796875	-8.0596923828125E-06
-0.5950927734375	-7.916259765625E-06
-0.5926513671875	-7.8155517578125E-06
-0.5902099609375	-7.72705078125E-06
-0.5877685546875	-7.6416015625E-06
-0.5853271484375	-7.537841796875E-06
-0.5828857421875	-7.4066162109375E-06
-0.5804443359375	-7.2052001953125E-06
-0.5780029296875	-7.0648193359375E-06
-0.5755615234375	-6.8817138671875E-06
-0.5731201171875	-6.658935546875E-06
-0.5706787109375	-6.475830078125E-06
-0.5682373046875	-6.292724609375E-06
-0.5657958984375	-6.1370849609375E-06
-0.5633544921875	-6.048583984375E-06
-0.5609130859375	-5.926513671875E-06
-0.5584716796875	-5.841064453125E-06
-0.5560302734375	-5.816650390625E-06
-0.5535888671875	-5.72509765625E-06
-0.5511474609375	-5.6732177734375E-06
-0.5487060546875	-5.572509765625E-06
-0.5462646484375	-5.4443359375E-06
-0.5438232421875	-5.3253173828125E-06
-0.5413818359375	-5.181884765625E-06
-0.5389404296875	-4.986572265625E-06
-0.5364990234375	-4.8431396484375E-06
-0.5340576171875	-4.6630859375E-06
-0.5316162109375	-4.522705078125E-06
-0.5291748046875	-4.4281005859375E-06
-0.5267333984375	-4.3243408203125E-06
-0.5242919921875	-4.26025390625E-06
