Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Grupo8_C3
Sample ID
Option
Analyst
Date/Time:,08/08/2023 04:55:35 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,3.701
201.0,3.506
202.0,3.428
203.0,3.421
204.0,3.840
205.0,4.088
206.0,4.135
207.0,3.800
208.0,3.621
209.0,3.548
210.0,3.681
211.0,3.652
212.0,3.679
213.0,5.745
214.0,7.871
215.0,10.000
216.0,8.383
217.0,6.403
218.0,4.305
219.0,3.924
220.0,3.755
221.0,3.800
222.0,3.691
223.0,3.820
224.0,3.956
225.0,6.063
226.0,8.083
227.0,10.000
228.0,8.212
229.0,6.115
230.0,4.114
231.0,4.014
232.0,3.947
233.0,4.192
234.0,4.006
235.0,4.147
236.0,4.218
237.0,4.447
238.0,4.370
239.0,3.928
240.0,3.833
241.0,5.933
242.0,6.018
243.0,7.958
244.0,6.273
245.0,6.467
246.0,4.423
247.0,4.409
248.0,4.246
249.0,4.457
250.0,6.156
251.0,6.135
252.0,6.084
253.0,4.659
254.0,5.099
255.0,5.230
256.0,6.655
257.0,6.202
258.0,5.988
259.0,5.988
260.0,6.080
261.0,6.193
262.0,4.245
263.0,4.682
264.0,4.694
265.0,4.966
266.0,4.677
267.0,4.946
268.0,5.327
269.0,5.269
270.0,6.840
271.0,6.295
272.0,6.157
273.0,4.116
274.0,4.065
275.0,4.055
276.0,4.194
277.0,4.033
278.0,4.130
279.0,4.018
280.0,4.011
281.0,3.940
282.0,3.843
283.0,3.791
284.0,3.653
285.0,3.668
286.0,3.615
287.0,3.542
288.0,3.406
289.0,3.326
290.0,3.231
291.0,3.163
292.0,3.080
293.0,3.024
294.0,2.976
295.0,2.925
296.0,2.884
297.0,2.830
298.0,2.781
299.0,2.723
300.0,2.659
301.0,2.617
302.0,2.577
303.0,2.544
304.0,2.509
305.0,2.479
306.0,2.446
307.0,2.415
308.0,2.381
309.0,2.356
310.0,2.329
311.0,2.300
312.0,2.269
313.0,2.244
314.0,2.227
315.0,2.208
316.0,2.180
317.0,2.153
318.0,2.127
319.0,2.107
320.0,2.083
321.0,2.063
322.0,2.040
323.0,2.014
324.0,1.988
325.0,1.967
326.0,1.946
327.0,1.925
328.0,1.899
329.0,1.881
330.0,1.864
331.0,1.847
332.0,1.830
333.0,1.810
334.0,1.799
335.0,1.785
336.0,1.774
337.0,1.759
338.0,1.749
339.0,1.737
340.0,1.729
341.0,1.722
342.0,1.716
343.0,1.711
344.0,1.705
345.0,1.703
346.0,1.698
347.0,1.694
348.0,1.689
349.0,1.688
350.0,1.688
351.0,1.684
352.0,1.681
353.0,1.678
354.0,1.678
355.0,1.677
356.0,1.676
357.0,1.675
358.0,1.676
359.0,1.674
360.0,1.672
361.0,1.671
362.0,1.670
363.0,1.670
364.0,1.670
365.0,1.671
366.0,1.671
367.0,1.674
368.0,1.674
369.0,1.675
370.0,1.670
371.0,1.673
372.0,1.671
373.0,1.674
374.0,1.673
375.0,1.674
376.0,1.674
377.0,1.675
378.0,1.676
379.0,1.677
380.0,1.677
381.0,1.677
382.0,1.679
383.0,1.680
384.0,1.680
385.0,1.679
386.0,1.679
387.0,1.681
388.0,1.680
389.0,1.678
390.0,1.675
391.0,1.673
392.0,1.671
393.0,1.670
394.0,1.666
395.0,1.664
396.0,1.659
397.0,1.657
398.0,1.652
399.0,1.647
400.0,1.641
401.0,1.636
402.0,1.629
403.0,1.623
404.0,1.616
405.0,1.610
406.0,1.602
407.0,1.594
408.0,1.586
409.0,1.579
410.0,1.570
411.0,1.560
412.0,1.550
413.0,1.542
414.0,1.533
415.0,1.524
416.0,1.515
417.0,1.505
418.0,1.494
419.0,1.484
420.0,1.474
421.0,1.464
422.0,1.454
423.0,1.444
424.0,1.435
425.0,1.424
426.0,1.414
427.0,1.401
428.0,1.391
429.0,1.380
430.0,1.368
431.0,1.356
432.0,1.345
433.0,1.333
434.0,1.321
435.0,1.310
436.0,1.298
437.0,1.287
438.0,1.275
439.0,1.264
440.0,1.252
441.0,1.240
