Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Grupo1_Desconhecida
Sample ID
Option
Analyst
Date/Time:,08/08/2023 04:24:18 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,3.395
201.0,3.363
202.0,4.126
203.0,3.946
204.0,4.008
205.0,3.257
206.0,3.462
207.0,3.786
208.0,3.768
209.0,3.760
210.0,3.574
211.0,3.751
212.0,3.660
213.0,3.765
214.0,3.841
215.0,3.996
216.0,4.042
217.0,3.957
218.0,3.926
219.0,3.758
220.0,5.860
221.0,5.867
222.0,5.941
223.0,5.941
224.0,5.792
225.0,5.973
226.0,5.973
227.0,8.141
228.0,7.872
229.0,6.013
230.0,3.920
231.0,4.596
232.0,4.391
233.0,6.484
234.0,6.287
235.0,6.385
236.0,4.333
237.0,3.993
238.0,4.055
239.0,4.101
240.0,6.090
241.0,6.209
242.0,6.166
243.0,6.166
244.0,6.214
245.0,6.341
246.0,6.341
247.0,6.200
248.0,6.044
249.0,4.583
250.0,6.461
251.0,6.643
252.0,6.191
253.0,4.322
254.0,4.403
255.0,4.489
256.0,4.383
257.0,4.293
258.0,4.231
259.0,4.390
260.0,4.555
261.0,4.432
262.0,4.237
263.0,4.138
264.0,4.302
265.0,4.341
266.0,4.210
267.0,4.177
268.0,4.129
269.0,4.115
270.0,4.052
271.0,4.182
272.0,4.233
273.0,4.159
274.0,4.016
275.0,4.099
276.0,4.103
277.0,4.071
278.0,3.895
279.0,3.878
280.0,4.015
281.0,3.898
282.0,3.863
283.0,3.695
284.0,3.692
285.0,3.602
286.0,3.472
287.0,3.424
288.0,3.359
289.0,3.338
290.0,3.258
291.0,3.180
292.0,3.135
293.0,3.089
294.0,3.036
295.0,2.956
296.0,2.881
297.0,2.835
298.0,2.778
299.0,2.744
300.0,2.692
301.0,2.663
302.0,2.628
303.0,2.602
304.0,2.570
305.0,2.542
306.0,2.518
307.0,2.497
308.0,2.472
309.0,2.445
310.0,2.421
311.0,2.396
312.0,2.372
313.0,2.350
314.0,2.330
315.0,2.312
316.0,2.290
317.0,2.265
318.0,2.238
319.0,2.209
320.0,2.181
321.0,2.155
322.0,2.129
323.0,2.103
324.0,2.076
325.0,2.053
326.0,2.030
327.0,2.006
328.0,1.985
329.0,1.964
330.0,1.949
331.0,1.931
332.0,1.916
333.0,1.897
334.0,1.884
335.0,1.871
336.0,1.866
337.0,1.851
338.0,1.842
339.0,1.831
340.0,1.825
341.0,1.818
342.0,1.811
343.0,1.807
344.0,1.804
345.0,1.802
